2026-05-01 19:42:19 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:42:19 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:42:19 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:42:19 | INFO | api | 🌐 Stakan WS подключен: на 38 монет.
2026-05-01 19:42:19 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:42:19 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:42:19 | INFO | api | ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-01 19:42:19 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:42:20 | INFO | api | 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 38 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-01 19:47:16 | INFO | api | ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-01 19:47:17 | INFO | api | 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-01 21:44:37 | INFO | api | Fetching klines for ['BTCUSDT', 'ETHUSDT', 'SOLUSDT']...
